hour,pressure_value
115:00:00,33.51682052
116:00:00,33.80603312
117:00:00,34.18823424
118:00:00,34.531564
119:00:00,36.306405
120:00:00,35.62772411
121:00:00,35.34030846
122:00:00,35.61332638
123:00:00,35.95509678
124:00:00,36.13461776
125:00:00,35.7650807
126:00:00,37.41481854
127:00:00,37.86483071
128:00:00,37.77535849
129:00:00,34.95060063
130:00:00,37.19030325
131:00:00,37.460079
132:00:00,38.06184339
133:00:00,37.03244835
134:00:00,37.3403721
135:00:00,35.42409494
136:00:00,35.32145675
137:00:00,34.19751584
138:00:00,33.88815513
139:00:00,33.58059047
140:00:00,33.89923137
141:00:00,33.81644315
142:00:00,34.94269324
143:00:00,36.17821722
144:00:00,35.74157076
145:00:00,35.47245449
146:00:00,35.61283563
147:00:00,35.95112718
148:00:00,35.72943761
149:00:00,35.63921057
150:00:00,37.20707535
151:00:00,37.67286369
152:00:00,36.99424507
153:00:00,35.56784075
154:00:00,37.11724621
155:00:00,37.01229054
156:00:00,38.31648257
157:00:00,37.34551645
158:00:00,37.3032974
159:00:00,35.2232682
160:00:00,34.73591324
161:00:00,34.69097667
162:00:00,33.98601586
163:00:00,33.24939517
164:00:00,34.12236454
165:00:00,34.29660509
166:00:00,35.27541412
167:00:00,36.14467964
168:00:00,35.82689612
169:00:00,35.67189081
170:00:00,35.11852296
171:00:00,35.95825553
172:00:00,36.18129048
173:00:00,35.81661345
174:00:00,37.35763575
175:00:00,38.12317653
176:00:00,37.52393535
177:00:00,35.69703796
178:00:00,36.69780453
179:00:00,37.30398125
180:00:00,37.84774931
181:00:00,37.39092252
182:00:00,38.01170211
183:00:00,35.72756998
184:00:00,35.19355457
185:00:00,34.2552629
186:00:00,34.20469924
187:00:00,33.64183476
188:00:00,33.37550685
189:00:00,34.00479018
190:00:00,34.77374724
191:00:00,35.8831419
192:00:00,35.82110831
193:00:00,35.62977309
194:00:00,35.29226343
195:00:00,36.34422316
196:00:00,35.75863489
197:00:00,35.80022885
198:00:00,37.9181607
199:00:00,37.81204232
200:00:00,37.66832536
201:00:00,35.57106263
202:00:00,36.70711082
203:00:00,37.01719458
204:00:00,37.87285201
205:00:00,37.34841847
206:00:00,37.17119143
207:00:00,35.0882481
208:00:00,34.87222857
209:00:00,34.67266869
210:00:00,33.58229714
211:00:00,33.52315992
212:00:00,34.07975224
213:00:00,33.74321357
214:00:00,35.15369419
215:00:00,36.24995852
216:00:00,35.97765577
217:00:00,35.38580072
218:00:00,35.57101574
219:00:00,36.3066434
220:00:00,35.81490263
221:00:00,36.03062519
222:00:00,37.10414053
223:00:00,38.18918012
224:00:00,37.37080392
225:00:00,35.4863864
226:00:00,36.60645209
227:00:00,36.57844095
228:00:00,37.96884683
229:00:00,37.27485652
230:00:00,37.80222968
231:00:00,35.30220991
232:00:00,34.41279383
233:00:00,34.01628096
234:00:00,33.60074225
235:00:00,33.17541577
236:00:00,34.30689528
237:00:00,34.19299319
238:00:00,34.91964424
239:00:00,36.06781029
240:00:00,36.00146736
241:00:00,35.50593341
242:00:00,35.55776259
243:00:00,35.88431735
244:00:00,35.87067715
245:00:00,35.83694307
246:00:00,36.80458202
247:00:00,38.0774864
248:00:00,38.0117687
249:00:00,35.40107509
250:00:00,36.68472202
251:00:00,36.72951521
252:00:00,38.16845639
253:00:00,37.52829948
254:00:00,37.38836412
255:00:00,35.48418148
256:00:00,35.210251
257:00:00,34.5917825
258:00:00,33.66039952
259:00:00,33.25381731
260:00:00,33.91771772
261:00:00,34.15728031
262:00:00,35.17998527
263:00:00,36.4441311
264:00:00,35.6340486
265:00:00,35.6677914
266:00:00,35.51426379
267:00:00,35.76386155
268:00:00,35.91023852
269:00:00,36.10096164
270:00:00,37.4090471
271:00:00,37.63381941
272:00:00,37.59694553
273:00:00,36.07977184
274:00:00,36.84734485
275:00:00,36.83685839
276:00:00,38.09621327
277:00:00,37.00236687
278:00:00,37.89691149
279:00:00,35.80613891
280:00:00,34.53365572
281:00:00,33.97824745
282:00:00,34.16240564
283:00:00,33.23130412
284:00:00,34.55136212
285:00:00,34.17444625
286:00:00,34.68400623
287:00:00,35.71965501
288:00:00,35.93724153
289:00:00,36.00520048
290:00:00,35.50959159
291:00:00,35.78828872
292:00:00,36.05976443
293:00:00,35.38177305
294:00:00,37.1960663
295:00:00,37.82671909
296:00:00,37.60000323
297:00:00,35.35447091
298:00:00,36.9422206
299:00:00,37.06011971
300:00:00,37.88842832
301:00:00,37.49902197
302:00:00,37.55317677
303:00:00,35.4045074
304:00:00,34.84220997
305:00:00,34.1409132
306:00:00,34.10901903
307:00:00,33.38731092
308:00:00,34.34104363
309:00:00,34.0040171
310:00:00,34.70623027
311:00:00,36.49524619
312:00:00,35.46468147
313:00:00,35.64666723
314:00:00,35.58229449
315:00:00,35.9628333
316:00:00,35.74796731
317:00:00,36.11440915
318:00:00,37.26184962
319:00:00,38.41541923
320:00:00,37.62533811
321:00:00,35.76880585
322:00:00,36.72541389
323:00:00,36.88139908
324:00:00,37.78392518
325:00:00,37.42422853
326:00:00,37.89461
327:00:00,35.00168654
328:00:00,35.00651837
329:00:00,34.24755219
330:00:00,34.1792177
331:00:00,33.33672866
332:00:00,34.0108786
333:00:00,34.39078164
334:00:00,34.87377892
335:00:00,36.27082851
336:00:00,36.06152531
337:00:00,35.42170344
338:00:00,35.56097659
339:00:00,35.93226752
340:00:00,35.87037627
341:00:00,35.87626827
342:00:00,37.39824668
343:00:00,38.20554695
344:00:00,37.94213925
345:00:00,35.35549316
346:00:00,36.78014716
347:00:00,36.89708618
348:00:00,37.90205061
349:00:00,36.56670581
350:00:00,38.10661107
351:00:00,35.77750862
352:00:00,35.19069319
353:00:00,34.67323813
354:00:00,33.41811348
355:00:00,33.57667223
356:00:00,33.37199289
357:00:00,34.15003028
358:00:00,35.0789497
359:00:00,35.81978999
360:00:00,35.70587277
361:00:00,36.03646551
362:00:00,35.59117578
363:00:00,36.18386881
364:00:00,35.80980084
365:00:00,35.62551886
366:00:00,37.00887383
367:00:00,38.22402916
368:00:00,37.65328149
369:00:00,36.02722801
370:00:00,36.63557304
371:00:00,37.13928189
372:00:00,37.58404612
373:00:00,37.43454199
374:00:00,37.97150547
375:00:00,35.39787645
376:00:00,35.40496625
377:00:00,33.97653344
378:00:00,34.33991864
379:00:00,32.88583509
380:00:00,34.41201671
381:00:00,33.89938918
382:00:00,34.60147523
383:00:00,35.98986224
384:00:00,35.60028811
385:00:00,35.7415666
386:00:00,35.39596595
387:00:00,35.95650737
388:00:00,35.66422266
389:00:00,35.6246446
390:00:00,37.41663774
391:00:00,37.79211782
392:00:00,38.2022961
393:00:00,35.61375915
394:00:00,36.9507768
395:00:00,36.94868401
396:00:00,38.22538601
397:00:00,37.20750652
398:00:00,37.93436701
399:00:00,35.5274942
400:00:00,35.07531521
401:00:00,34.00453182
402:00:00,33.30870109
403:00:00,33.61639882
404:00:00,33.87659536
405:00:00,34.33096
406:00:00,34.55659145
407:00:00,35.87765891
408:00:00,35.6687703
409:00:00,35.68988218
410:00:00,35.84002992
411:00:00,35.96131822
412:00:00,35.95875166
413:00:00,35.67689429
414:00:00,37.58137969
415:00:00,37.84519164
416:00:00,37.73557328
417:00:00,35.52681199
418:00:00,36.69923345
419:00:00,36.64120137
420:00:00,37.97860061
421:00:00,36.87297177
422:00:00,37.95625094
423:00:00,35.38888384
424:00:00,34.78663102
425:00:00,34.00091972
426:00:00,33.77604271
427:00:00,33.33265209
428:00:00,33.70688553
429:00:00,33.9111604
430:00:00,34.8604479
431:00:00,36.52106017
432:00:00,36.01839873
433:00:00,35.93414754
434:00:00,35.3286812
435:00:00,35.96721171
436:00:00,35.96356956
437:00:00,35.82792999
438:00:00,37.23961768
439:00:00,37.92897355
440:00:00,37.73712353
441:00:00,35.6134984
442:00:00,36.26671171
443:00:00,36.60196558
444:00:00,37.70422319
445:00:00,37.24035712
446:00:00,37.62912818
447:00:00,35.19675161
448:00:00,35.07414494
449:00:00,34.32465921
450:00:00,34.25139868
451:00:00,33.68746275
452:00:00,33.90525623
453:00:00,34.10937359
454:00:00,34.7582577
455:00:00,35.77907645
456:00:00,35.55402218
457:00:00,35.36572606
458:00:00,35.7413601
459:00:00,35.98076055
460:00:00,35.98686731
461:00:00,36.37312222
462:00:00,37.55839733
463:00:00,38.27935106
464:00:00,38.01233891
465:00:00,35.82116645
466:00:00,36.62013961
467:00:00,36.7760459
468:00:00,37.91348013
469:00:00,37.1101802
470:00:00,37.4513676
471:00:00,35.1197059
472:00:00,34.69350465
473:00:00,34.29249477
474:00:00,34.12927993
475:00:00,32.83664418
476:00:00,33.66574683
477:00:00,33.50189002
478:00:00,35.03719881
479:00:00,35.85218948
480:00:00,35.70497183
481:00:00,35.50592992
482:00:00,35.92046194
483:00:00,36.17631064
484:00:00,35.12275214
485:00:00,36.1123134
486:00:00,36.98082793
487:00:00,38.11969228
488:00:00,37.98397057
489:00:00,35.53990656
490:00:00,36.98448725
491:00:00,36.97219251
492:00:00,37.86702453
493:00:00,37.32147335
494:00:00,37.61718493
495:00:00,35.45932184
496:00:00,35.18108195
497:00:00,34.49923529
498:00:00,34.00305578
499:00:00,33.2432732
500:00:00,33.72260626
501:00:00,33.8539743
502:00:00,34.54945323
503:00:00,36.50451581
504:00:00,35.257334
505:00:00,35.81781975
506:00:00,35.67269519
507:00:00,36.50256493
508:00:00,35.73305823
509:00:00,35.40630296
510:00:00,37.61600525
511:00:00,38.54743172
512:00:00,37.37257318
513:00:00,35.59863063
514:00:00,36.44083203
515:00:00,36.78852494
516:00:00,37.81373864
517:00:00,37.07907811
518:00:00,37.17239315
519:00:00,35.75380023
520:00:00,34.6581072
521:00:00,34.64670305
522:00:00,34.17574574
523:00:00,33.57518147
524:00:00,34.33784002
525:00:00,33.56927269
526:00:00,34.62228221
527:00:00,35.92015165
528:00:00,35.6668992
529:00:00,35.79324293
530:00:00,35.12192867
531:00:00,35.73918404
532:00:00,36.12036665
533:00:00,35.66214919
534:00:00,37.71590123
535:00:00,38.01968132
536:00:00,37.43676163
537:00:00,35.34667361
538:00:00,36.93704312
539:00:00,37.42629182
540:00:00,37.62696365
541:00:00,37.09586755
542:00:00,37.34658549
543:00:00,35.49078386
544:00:00,34.63408428
545:00:00,34.66529106
546:00:00,33.89953689
547:00:00,33.57309897
548:00:00,33.76719837
549:00:00,34.45115437
550:00:00,34.60191648
551:00:00,36.17577279
552:00:00,35.89749948
553:00:00,35.7831795
554:00:00,35.56188047
555:00:00,35.4210437
556:00:00,36.17748528
557:00:00,36.05961088
558:00:00,37.69016973
559:00:00,37.62046121
560:00:00,37.65720584
561:00:00,35.48371441
562:00:00,36.97123695
563:00:00,36.91256017
564:00:00,38.08573322
565:00:00,37.46625075
566:00:00,37.32714888
567:00:00,34.69943388
568:00:00,34.78578381
569:00:00,34.45693643
570:00:00,33.97629645
571:00:00,33.12415988
572:00:00,33.80382291
573:00:00,34.32094346
574:00:00,35.08884596
575:00:00,36.07848358
576:00:00,35.81477993
577:00:00,36.27160908
578:00:00,35.61402032
579:00:00,36.12375234
580:00:00,35.88755312
581:00:00,36.03557652
582:00:00,37.1672249
583:00:00,38.16121227
584:00:00,37.74716023
585:00:00,35.86653736
586:00:00,37.05615541
587:00:00,36.84165483
588:00:00,37.9709543
589:00:00,37.34260434
590:00:00,37.69213822
591:00:00,35.38956278
592:00:00,34.56939548
593:00:00,34.76297884
594:00:00,34.00798001
595:00:00,33.35960823
596:00:00,34.11614249
597:00:00,34.6776725
598:00:00,35.22359753
599:00:00,35.99172834
600:00:00,36.01858611
601:00:00,35.73374157
602:00:00,35.40705179
603:00:00,35.93217922
604:00:00,35.85420434
605:00:00,35.76962023
606:00:00,37.19731097
607:00:00,37.93921873
608:00:00,37.57261187
609:00:00,35.67847287
610:00:00,36.50908351
611:00:00,36.95016535
612:00:00,37.84300366
613:00:00,36.90105738
614:00:00,37.52290009
615:00:00,35.63399905
616:00:00,35.11970016
617:00:00,34.58430845
618:00:00,33.56213055
619:00:00,33.06238606
620:00:00,33.99477728
621:00:00,34.02432633
622:00:00,35.05158204
623:00:00,36.45198587
624:00:00,36.03765042
625:00:00,35.81027723
626:00:00,35.66840229
627:00:00,35.71152129
628:00:00,36.28456272
629:00:00,35.77548437
630:00:00,37.35038479
631:00:00,38.42258164
632:00:00,37.49938381
633:00:00,35.27056388
634:00:00,36.864473
635:00:00,37.2237986
636:00:00,37.80753379
637:00:00,37.29503932
638:00:00,37.61778096
639:00:00,35.28334154
640:00:00,35.02290566
641:00:00,34.2477143
642:00:00,34.10839102
643:00:00,33.28091301
644:00:00,33.99696789
645:00:00,33.97457729
646:00:00,34.68966173
647:00:00,35.89149598
648:00:00,35.4346599
649:00:00,35.7259819
650:00:00,35.36681791
651:00:00,35.78829389
652:00:00,36.07908411
653:00:00,35.9964312
654:00:00,37.65453932
655:00:00,37.22066238
656:00:00,37.61232072
657:00:00,35.76414216
658:00:00,36.9930401
659:00:00,37.25752404
660:00:00,37.62167798
661:00:00,36.92180083
662:00:00,37.63265814
663:00:00,35.49080372
664:00:00,35.05475771
665:00:00,34.17992709
666:00:00,34.12711497
667:00:00,33.42889857
668:00:00,33.75700602
669:00:00,34.1294439
670:00:00,34.67413918
671:00:00,36.45907478
